batch,context_len,kv_len,hit_rate,bench_miss_mask,synthetic_cache_pattern,flashinfer_ms,flashinfer_run_event_ms,flashinfer_plan_run_event_ms,flashinfer_plan_run_wall_ms,mac_ms,mac_event_ms,mac_wall_ms,mac_speedup_vs_flashinfer,tile_tokens,complete_rows,group_tail_rows,hit_tail_rows,fallback_reduce_groups,balanced_tile_tokens,non_hit_groups,full_fallback_groups,max_full_fallback_reduce_chunks,max_mixed_reduce_chunks,miss_head_count,miss_count_0_groups,miss_count_1_groups,miss_count_2_groups,miss_count_3_groups,miss_count_4_groups,mixed_miss1_groups,mixed_miss2_groups,mixed_miss3_groups,full_miss_groups,scheduled_head_slot_tokens,actual_head_tokens,active_miss_head_tokens,mixed_scheduled_head_slot_tokens,mixed_actual_head_tokens,mixed_active_miss_head_tokens,mixed_unused_head_slot_ratio,complete_group_rows,complete_head_rows,complete_mixed_z2_rows,complete_full_group_rows,complete_mixed_group_rows,complete_mac_hit_group_rows,estimated_materialized_partial_rect_states,estimated_active_partial_rect_states,estimated_inactive_partial_rect_states,estimated_inactive_partial_rect_state_ratio,estimated_partial_rect_states,estimated_partial_rect_bytes,estimated_phase4_rect_state_reads,estimated_phase4_rect_read_bytes,estimated_active_phase4_rect_state_reads,estimated_inactive_phase4_rect_state_reads,estimated_inactive_phase4_rect_read_ratio,miss_mask_hist,group_task_miss_mask_hist,phase_order,match_pct,prepare_pct,complete_pct,reduce_pct_detail,reduce_sync_wait_pct,reduce_compute_pct,tail_pct_detail,fallback_group_merge_pct,merge_write_pct,cache_subtract_pct
1,98304,98305,0.5,,faithful,0.1513435311305026,0.15058080355326334,0.15058080355326334,0.1513435311305026,0.27874005027115345,0.2781621297200521,0.27874005027115345,0.5429558148650625,32,1026,16,0,5,528,5,3,4,3,16,3,1,0,1,3,1,0,1,3,1961748,1569808,1568784,784392,392452,392196,0.49967363476753235,1014,12,2,642,0,0,4068,2588,1480,0.3638151425762045,4068,2099088,84,43344,76,8,0.09523809523809523,0:3;7:1;8:1;15:3,7:1;8:1;15:642,,,,,,,,,,,
1,98304,98305,0.6,,faithful,0.1513435311305026,0.15058080355326334,0.15058080355326334,0.1513435311305026,0.2297357345620791,0.22930720647176106,0.2297357345620791,0.6587722690115787,32,950,16,0,4,336,4,3,4,5,13,4,1,0,0,3,1,0,0,3,1569808,1275853,1274637,392196,98241,98049,0.7495104670524597,934,16,1,642,0,0,3752,2588,1164,0.31023454157782515,3752,1936032,84,43344,72,12,0.14285714285714285,0:4;8:1;15:3,8:1;15:642,,,,,,,,,,,
1,98304,98305,0.7,,faithful,0.1513435311305026,0.15058080355326334,0.15058080355326334,0.1513435311305026,0.2519250032491982,0.2514794667561849,0.2519250032491982,0.6007483543854407,32,1066,16,0,4,480,4,2,5,4,10,4,2,0,0,2,2,0,0,2,1569808,981898,980490,784392,196482,196098,0.7495104670524597,1050,16,2,640,0,0,4216,2584,1632,0.3870967741935484,4216,2175456,88,45408,70,18,0.20454545454545456,0:4;1:1;8:1;15:2,1:1;8:1;15:640,,,,,,,,,,,
1,98304,98305,0.8,,faithful,0.1513435311305026,0.15058080355326334,0.15058080355326334,0.1513435311305026,0.23087463341653347,0.2304320017496745,0.23087463341653347,0.655522561707572,32,858,16,0,3,432,3,1,6,4,6,5,2,0,0,1,2,0,0,1,1177868,589958,588294,784392,196482,196098,0.7495104670524597,838,20,2,384,0,0,3372,1564,1808,0.5361803084223014,3372,1739952,76,39216,58,18,0.23684210526315788,0:5;1:1;8:1;15:1,1:1;8:1;15:384,,,,,,,,,,,
1,98304,98305,0.875,,faithful,0.1513435311305026,0.15058080355326334,0.15058080355326334,0.1513435311305026,0.1983719179406762,0.19792960484822592,0.1983719179406762,0.762928204262069,32,536,16,0,2,384,2,0,0,8,4,6,1,0,1,0,1,0,1,0,785928,393988,392196,784392,392452,392196,0.49967363476753235,512,24,257,0,0,0,2072,797,1275,0.6153474903474904,2072,1069152,88,45408,60,28,0.3181818181818182,0:6;7:1;8:1,7:256;8:1,,,,,,,,,,,
1,98304,98305,0.9,,faithful,0.1513435311305026,0.15058080355326334,0.15058080355326334,0.1513435311305026,0.17640714844067892,0.17599306106567383,0.17640714844067892,0.8579217592273221,32,536,16,0,2,384,2,0,0,8,3,6,1,1,0,0,1,1,0,0,785928,296003,294147,784392,294467,294147,0.6245920658111572,512,24,2,0,0,0,2072,32,2040,0.9845559845559846,2072,1069152,88,45408,53,35,0.3977272727272727,0:6;3:1;8:1,3:1;8:1,,,,,,,,,,,
1,98304,98305,0.95,,faithful,0.1513435311305026,0.15058080355326334,0.15058080355326334,0.1513435311305026,0.1737421533713738,0.17328960100809734,0.1737421533713738,0.8710812442102399,32,536,16,0,2,384,2,0,0,8,2,6,2,0,0,0,2,0,0,0,785928,198018,196098,784392,196482,196098,0.7495104670524597,512,24,2,0,0,0,2072,32,2040,0.9845559845559846,2072,1069152,88,45408,46,42,0.4772727272727273,0:6;1:1;8:1,1:1;8:1,,,,,,,,,,,
1,98304,98305,0.96875,,faithful,0.1513435311305026,0.15058080355326334,0.15058080355326334,0.1513435311305026,0.15921871721123657,0.15878720283508302,0.15921871721123657,0.9505385659508493,32,537,16,0,1,193,1,0,0,16,1,7,1,0,0,0,1,0,0,0,393988,100033,98049,392196,98241,98049,0.7495104670524597,509,28,2,0,0,0,2064,36,2028,0.9825581395348837,2064,1065024,92,47472,47,45,0.4891304347826087,0:7;8:1,8:2,,,,,,,,,,,
1,98304,98305,1.0,,faithful,0.1513435311305026,0.15058080355326334,0.15058080355326334,0.1513435311305026,0.06946061815445621,0.0690287987391154,0.06946061815445621,2.1788393934814594,32,64,16,0,0,32,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2048,2048,0,0,0,0,0.0,0,64,0,0,0,0,64,64,0,0.0,64,33024,64,33024,64,0,0.0,0:8,,,,,,,,,,,,
1,126976,126977,0.0,,faithful,0.1913242662946383,0.19089120229085285,0.19089120229085285,0.1913242662946383,0.39254318301876384,0.3920703887939453,0.39254318301876384,0.4873967363878355,32,512,16,0,8,1981,8,8,1,0,32,0,0,0,0,8,0,0,0,8,4055072,4055072,4055072,0,0,0,0.0,512,0,0,512,0,0,2048,2048,0,0.0,2048,1056768,32,16512,32,0,0.0,15:8,15:512,,,,,,,,,,,
1,126976,126977,0.1,,faithful,0.1913242662946383,0.19089120229085285,0.19089120229085285,0.1913242662946383,0.385525884727637,0.38504158655802406,0.385525884727637,0.49626827633066306,32,890,16,0,8,341,8,7,2,6,29,0,1,0,0,7,1,0,0,7,4055072,3675101,3674909,506884,126913,126721,0.7496212124824524,890,0,1,518,0,0,3560,2076,1484,0.41685393258426967,3560,1836960,80,41280,65,15,0.1875,8:1;15:7,8:1;15:518,,,,,,,,,,,
1,126976,126977,0.2,,faithful,0.1913242662946383,0.19089120229085285,0.19089120229085285,0.1913242662946383,0.3987875844662388,0.398309866587321,0.3987875844662388,0.4797648516332778,32,810,16,0,8,867,8,6,2,3,26,0,2,0,0,6,2,0,0,6,4055072,3295130,3294746,1013768,253826,253442,0.7496212124824524,810,0,2,516,0,0,3240,2072,1168,0.36049382716049383,3240,1671840,72,37152,60,12,0.16666666666666666,1:1;8:1;15:6,1:1;8:1;15:516,,,,,,,,,,,
1,126976,126977,0.3,,faithful,0.1913242662946383,0.19089120229085285,0.19089120229085285,0.1913242662946383,0.3598039310115079,0.35929492314656575,0.3598039310115079,0.5317459032667406,32,835,16,0,7,805,7,5,2,3,22,1,2,0,0,5,2,0,0,5,3548444,2788502,2787862,1013768,253826,253442,0.7496212124824524,831,4,2,515,0,0,3328,2072,1256,0.37740384615384615,3328,1717248,68,35088,56,12,0.17647058823529413,0:1;1:1;8:1;15:5,1:1;8:1;15:515,,,,,,,,,,,
1,126976,126977,0.4,,faithful,0.1913242662946383,0.19089120229085285,0.19089120229085285,0.1913242662946383,0.32287138359000284,0.32241760889689125,0.32287138359000284,0.5925711475799007,32,990,16,0,6,743,6,4,3,3,19,2,1,1,0,4,1,1,0,4,3041816,2408531,2407699,1013768,380483,380163,0.6246843338012695,982,8,2,640,0,0,3936,2576,1360,0.34552845528455284,3936,2030976,80,41280,70,10,0.125,0:2;3:1;8:1;15:4,3:1;8:1;15:640,,,,,,,,,,,
1,126976,126977,0.5,,faithful,0.1913242662946383,0.19089120229085285,0.19089120229085285,0.1913242662946383,0.33396491780877113,0.33351945877075195,0.33396491780877113,0.5728873186739659,32,1023,16,0,5,682,5,3,4,3,16,3,1,0,1,3,1,0,1,3,2535188,2028560,2027536,1013768,507140,506884,0.49974748492240906,1011,12,2,639,0,0,4056,2576,1480,0.36489151873767256,4056,2092896,84,43344,76,8,0.09523809523809523,0:3;7:1;8:1;15:3,7:1;8:1;15:639,,,,,,,,,,,
