context_len,hit_rate,baseline_tok_s,mac_tok_s,speedup,baseline_wall_s,mac_wall_s,mac_faster,baseline_statuses,mac_statuses
98304,0.95,61.261428571428574,65.755,1.073350745050486,18.08397509000497,17.992884985986166,True,200,200
98304,0.96875,61.261428571428574,66.92166666666667,1.0923948106864414,18.08397509000497,18.001606834994163,True,200,200
98304,1.0,61.261428571428574,82.68666666666667,1.3497345490442987,18.08397509000497,17.64601418899838,True,200,200
126976,0.0,54.55571428571429,34.24,0.6276152818874545,27.86160976800602,29.427142018044833,False,200,200
126976,0.1,54.55571428571429,33.18333333333334,0.6082467028027269,27.86160976800602,29.654332167003304,False,200,200
126976,0.2,54.55571428571429,34.75833333333333,0.637116272574127,27.86160976800602,29.48991999903228,False,200,200
126976,0.3,54.55571428571429,38.318333333333335,0.7023706652002758,27.86160976800602,29.071473381016403,False,200,200
126976,0.4,54.55571428571429,41.12833333333333,0.7538776436495674,27.86160976800602,28.82342900399817,False,200,200
126976,0.5,54.55571428571429,46.02333333333333,0.8436024335105222,27.86160976800602,28.557110567984637,False,200,200
126976,0.6,54.55571428571429,48.29833333333333,0.8853029231803223,27.86160976800602,28.37512225698447,False,200,200
126976,0.7,54.55571428571429,51.373333333333335,0.941667321305437,27.86160976800602,28.26536690600915,False,200,200
126976,0.8,54.55571428571429,56.45166666666667,1.0347525901874013,27.86160976800602,27.9825428170152,True,200,200
126976,0.875,54.55571428571429,60.70666666666666,1.1127462532841044,27.86160976800602,27.846827719011344,True,200,200
126976,0.9,54.55571428571429,62.306666666666665,1.1420740701947332,27.86160976800602,27.722645264002495,True,200,200
126976,0.95,54.55571428571429,63.891666666666666,1.1711269388218246,27.86160976800602,27.797395732952282,True,200,200
126976,0.96875,54.55571428571429,65.375,1.19831626908272,27.86160976800602,27.61011737800436,True,200,200
126976,1.0,54.55571428571429,82.68,1.5155149388567388,27.86160976800602,27.254371677991003,True,200,200
